donor_id,transfer_version,mapping_method,material_coverage_score,EFL_before,EFL_after,BFL_before,BFL_after,TTL_before,TTL_after,max_pass_field_before,max_pass_field_after,failure_surface_before,failure_surface_after,transfer_status,notes
US7023628B1,V0_native,native_nd_vd_only,1.0,1.68,1.68,4.45,4.45,20.2,20.2,20,20,,,NATIVE_PARTIAL_ELIGIBLE,"No DJI substitution; V1 model-glass audit is next."
US7554753B2,V0_native,native_nd_vd_only,1.0,10,10,11.04884,11.04884,62.6,62.6,20,20,,,NATIVE_PARTIAL_ELIGIBLE,"No scale or material conclusion; native architecture is noncompact."
US8064149B2,V0_native,native_catalog_glass,1.0,,,,,40.01,40.01,20,20,,,NATIVE_PARTIAL_ELIGIBLE,"High-field native reproduction failed; material transfer may only test sensitivity."
US20200081231A1,V0_native,native_nd_vd_only,0.9,0.904,0.904,1.349,1.349,12.225,12.225,,,,,BLOCKED_NATIVE_GATE,"No tested field reached full pass."
US8638507B2,V0_native,prescription_assumption_audit,0.9,1.68,,5.5,,,,,,,,BLOCKED_INCOMPLETE,"Derived image gap and incomplete asphere metadata prevent a clean native gate."
CN106154501A,V0_native,native_catalog_glass,1.0,,,1.57,1.57,17.1,17.1,35,35,,,NATIVE_PARTIAL_ELIGIBLE,"No DJI substitution; explicit BFL remains unresolved."
WO2016069418A1,V0_native,ocr_verified_model_glass_pending,0.95,,,4.027,,24.002,,,,,,BLOCKED_INCOMPLETE,"Primary-PDF verification required before build."
US9091843B1,V0_native,native_prescription_control,,,,,,,,,,,,BLOCKED_NATIVE_GATE,"Field/pupil assumptions unresolved; diagnostic field collapse is not recovery."
US20090080093A1,V0_native,native_prescription_control,,,,,,,,30,30,,,BLOCKED_NATIVE_GATE,"60 and 85 degree chief rays fail before image."
CN114047597A,V0_native,native_catalog_or_model_glass,1.0,,,1.923,1.923,15.995,15.995,70,70,,,NATIVE_PASS_ELIGIBLE,"Emb1 only; no DJI material substitution was applied."
